Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-01 00:00:00-04:00,258.7902363712362,262.23545386846615,248.67363051447919,251.9794464111328,5527400,0.0,0.0
2024-08-02 00:00:00-04:00,246.7319494312564,246.94105943291117,240.09043163184134,242.9282684326172,6504500,0.0,0.0
2024-08-05 00:00:00-04:00,231.32800461466013,240.78743976684808,231.2184737051526,237.9894256591797,6899300,0.0,0.0
2024-08-06 00:00:00-04:00,240.0605597530542,242.808784479605,237.01362815938717,237.40196228027344,5673900,0.0,0.0
2024-08-07 00:00:00-04:00,241.57407880147701,245.47733894814894,238.63667806182931,239.01504516601562,4035500,0.0,0.0
2024-08-08 00:00:00-04:00,242.2013769354783,248.3649330322774,242.04205648488448,248.05625915527344,4474300,0.0,0.0
2024-08-09 00:00:00-04:00,247.63804302658664,251.86989544225847,247.38911053154712,251.45169067382812,2975300,0.0,0.0
2024-08-12 00:00:00-04:00,251.5214235255283,253.0050516163192,247.9567080266622,250.23692321777344,3679700,0.0,0.0
2024-08-13 00:00:00-04:00,251.91970425039372,254.6878325914883,251.91970425039372,253.51287841796875,4031600,0.0,0.0
2024-08-14 00:00:00-04:00,254.2995058273373,256.6095917240916,252.7760400126168,254.2298126220703,4145200,0.0,0.0
2024-08-15 00:00:00-04:00,256.79877319623495,261.76748679705673,255.14585767076176,261.66790771484375,5167900,0.0,0.0
2024-08-16 00:00:00-04:00,260.6323335598753,262.4744401801591,258.5711651190074,261.7873840332031,3494900,0.0,0.0
2024-08-19 00:00:00-04:00,261.9765630396884,264.25679319557105,260.5128387579321,264.246826171875,4501300,0.0,0.0
2024-08-20 00:00:00-04:00,263.81869062277724,264.36632999894056,259.91541543092524,260.7219543457031,5731300,0.0,0.0
2024-08-21 00:00:00-04:00,259.9851257159699,261.02069349067915,258.0733106232197,259.97515869140625,4648200,0.0,0.0
2024-08-22 00:00:00-04:00,260.3834180466885,262.13591272572864,256.1714688344699,257.48583984375,5111400,0.0,0.0
